iter	Passed	Remaining
259	1044	2973
260	1048	2970
261	1053	2966
262	1056	2961
263	1060	2957
264	1064	2952
265	1068	2948
266	1072	2944
267	1076	2939
268	1080	2935
269	1084	2931
270	1087	2926
271	1091	2922
272	1095	2918
273	1099	2914
274	1103	2909
275	1107	2905
276	1111	2900
277	1115	2896
278	1119	2892
279	1123	2887
280	1126	2883
281	1130	2879
282	1134	2874
283	1138	2870
284	1142	2865
285	1146	2862
286	1150	2858
287	1154	2853
288	1158	2850
289	1163	2847
290	1167	2844
291	1171	2840
292	1176	2837
293	1180	2833
294	1184	2829
295	1188	2826
296	1192	2822
297	1196	2819
298	1200	2815
299	1205	2811
300	1209	2807
301	1213	2804
302	1217	2800
303	1221	2796
304	1225	2793
305	1229	2789
306	1234	2785
307	1238	2783
308	1242	2779
309	1247	2776
310	1251	2772
311	1255	2769
312	1259	2765
313	1264	2761
314	1268	2758
315	1272	2755
316	1277	2751
317	1281	2747
318	1285	2744
319	1289	2741
320	1294	2737
321	1298	2734
322	1303	2731
323	1307	2728
324	1312	2724
325	1316	2721
326	1320	2717
327	1324	2713
328	1328	2710
329	1332	2705
330	1336	2702
331	1340	2697
332	1344	2693
333	1348	2688
334	1352	2684
335	1356	2679
336	1359	2675
337	1363	2671
338	1367	2666
339	1371	2662
340	1375	2659
341	1379	2654
342	1383	2650
343	1387	2646
344	1392	2642
345	1396	2638
346	1400	2634
347	1403	2630
348	1407	2625
349	1411	2621
350	1415	2617
351	1419	2613
352	1423	2609
353	1427	2605
354	1431	2600
355	1435	2596
356	1439	2591
357	1443	2587
358	1447	2583
359	1450	2579
360	1454	2575
361	1458	2570
362	1462	2566
363	1466	2561
364	1470	2557
365	1474	2553
366	1478	2549
367	1482	2545
368	1486	2541
369	1490	2537
370	1494	2533
371	1498	2529
372	1502	2524
373	1505	2520
374	1509	2516
375	1514	2512
376	1517	2508
377	1521	2503
378	1525	2499
379	1529	2495
380	1533	2492
381	1537	2487
382	1541	2483
383	1545	2479
384	1549	2475
385	1553	2471
386	1557	2466
387	1561	2462
388	1565	2458
389	1568	2453
390	1572	2449
391	1576	2444
392	1580	2440
393	1584	2436
394	1587	2431
395	1591	2427
396	1595	2423
397	1599	2419
398	1603	2414
399	1607	2410
400	1610	2406
401	1614	2402
402	1618	2397
403	1622	2393
404	1626	2389
405	1630	2384
406	1634	2381
407	1638	2377
408	1642	2373
409	1646	2369
410	1650	2364
411	1654	2360
412	1657	2356
413	1661	2351
414	1665	2347
415	1669	2343
416	1673	2339
417	1676	2334
418	1680	2330
419	1684	2326
420	1688	2322
421	1692	2317
422	1696	2313
423	1700	2309
424	1704	2305
425	1708	2301
426	1712	2297
427	1716	2293
428	1719	2289
429	1723	2285
430	1727	2280
431	1731	2277
432	1735	2273
433	1739	2269
434	1743	2264
435	1747	2260
436	1751	2256
437	1755	2252
438	1759	2249
439	1763	2244
440	1767	2240
441	1771	2236
442	1775	2232
443	1779	2228
444	1783	2224
445	1787	2219
446	1791	2215
447	1794	2211
448	1798	2207
449	1802	2203
450	1806	2199
451	1810	2195
452	1814	2190
453	1818	2186
454	1822	2182
455	1826	2178
456	1830	2174
457	1833	2170
458	1837	2166
459	1841	2161
460	1845	2157
461	1849	2153
462	1853	2149
463	1857	2145
464	1861	2141
465	1864	2136
466	1868	2132
467	1872	2128
468	1876	2124
469	1880	2120
470	1884	2116
471	1888	2112
472	1892	2108
473	1896	2104
474	1899	2099
475	1903	2095
476	1907	2091
477	1911	2087
478	1915	2083
479	1919	2079
480	1923	2075
481	1927	2071
482	1931	2067
483	1935	2063
484	1939	2059
485	1942	2054
486	1946	2050
487	1950	2046
488	1954	2042
489	1957	2037
490	1961	2033
491	1965	2029
492	1969	2025
493	1973	2021
494	1977	2017
495	1981	2013
496	1985	2009
497	1988	2004
498	1992	2000
499	1996	1996
500	2000	1992
501	2004	1988
502	2008	1984
503	2012	1980
504	2016	1976
505	2020	1972
506	2023	1968
507	2028	1964
508	2031	1960
509	2035	1955
510	2039	1951
511	2043	1947
512	2047	1943
513	2051	1939
514	2055	1935
515	2059	1931
516	2062	1927
517	2066	1923
518	2070	1919
519	2074	1914
520	2078	1910
521	2082	1906
522	2086	1902
523	2090	1898
524	2093	1894
525	2097	1890
526	2101	1886
527	2105	1882
528	2109	1877
529	2113	1873
530	2117	1869
531	2121	1866
532	2125	1862
533	2129	1857
534	2132	1853
535	2136	1849
536	2140	1845
537	2144	1841
538	2148	1837
539	2151	1833
540	2155	1829
541	2159	1824
542	2163	1820
543	2167	1816
544	2170	1812
545	2174	1808
546	2178	1804
547	2182	1800
548	2186	1796
549	2190	1791
550	2193	1787
551	2197	1783
552	2201	1779
553	2205	1775
554	2209	1771
555	2213	1767
556	2217	1763
557	2220	1759
558	2224	1755
559	2228	1751
560	2232	1746
561	2236	1742
562	2240	1738
563	2244	1734
564	2247	1730
565	2251	1726
566	2255	1722
567	2259	1718
568	2263	1714
569	2267	1710
570	2271	1706
571	2274	1702
572	2278	1698
573	2282	1694
574	2286	1689
575	2290	1685
576	2294	1681
577	2298	1677
578	2301	1673
579	2305	1669
580	2309	1665
581	2313	1661
582	2317	1657
583	2320	1653
584	2324	1649
585	2328	1645
586	2332	1641
587	2336	1637
588	2340	1632
589	2344	1628
590	2348	1624
591	2352	1621
592	2355	1617
593	2359	1612
594	2363	1608
595	2367	1604
596	2371	1601
597	2375	1597
598	2379	1593
599	2383	1589
600	2387	1585
601	2391	1581
602	2395	1577
603	2399	1573
604	2403	1569
605	2407	1565
606	2410	1560
607	2414	1557
608	2419	1553
609	2423	1549
610	2426	1545
611	2430	1541
612	2434	1537
613	2438	1532
614	2442	1528
615	2446	1524
616	2450	1521
617	2454	1517
618	2457	1512
619	2462	1508
620	2465	1504
621	2469	1500
622	2473	1496
623	2477	1492
624	2481	1488
625	2485	1484
626	2488	1480
627	2493	1476
628	2496	1472
629	2501	1468
630	2504	1464
631	2508	1460
632	2512	1456
633	2516	1452
634	2520	1448
635	2524	1444
636	2528	1440
637	2532	1436
638	2536	1432
639	2539	1428
640	2543	1424
641	2547	1420
642	2551	1416
643	2555	1412
644	2559	1408
645	2562	1404
646	2566	1400
647	2570	1396
648	2574	1392
649	2578	1388
650	2582	1384
651	2586	1380
652	2590	1376
653	2594	1372
654	2598	1368
655	2602	1364
656	2605	1360
657	2610	1356
658	2614	1352
659	2618	1348
660	2622	1344
661	2626	1340
662	2630	1336
663	2634	1332
664	2638	1328
665	2641	1324
666	2645	1320
667	2649	1316
668	2653	1312
669	2657	1308
670	2661	1304
671	2665	1300
672	2669	1297
673	2673	1293
674	2677	1289
675	2681	1285
676	2685	1281
677	2689	1277
678	2693	1273
679	2697	1269
680	2701	1265
681	2705	1261
682	2709	1257
683	2712	1253
684	2716	1249
685	2720	1245
686	2724	1241
687	2728	1237
688	2732	1233
689	2736	1229
690	2741	1225
691	2745	1221
692	2749	1217
693	2753	1213
694	2756	1209
695	2760	1205
696	2764	1201
697	2768	1197
698	2771	1193
699	2775	1189
700	2779	1185
701	2783	1181
702	2787	1177
703	2791	1173
704	2795	1169
705	2799	1165
706	2802	1161
707	2806	1157
708	2810	1153
709	2814	1149
710	2818	1145
711	2822	1141
712	2826	1137
713	2830	1133
714	2834	1129
715	2838	1125
716	2842	1121
717	2846	1117
718	2850	1113
719	2854	1109
720	2858	1105
721	2861	1101
722	2866	1098
723	2870	1094
724	2874	1090
725	2878	1086
726	2882	1082
727	2886	1078
728	2890	1074
729	2894	1070
730	2898	1066
731	2902	1062
732	2906	1058
733	2910	1054
734	2913	1050
735	2917	1046
736	2921	1042
737	2925	1038
738	2929	1034
739	2933	1030
740	2937	1026
741	2941	1022
742	2945	1018
743	2949	1014
744	2953	1010
745	2957	1006
746	2960	1002
747	2964	998
748	2968	994
749	2972	990
750	2976	986
751	2980	982
752	2984	979
753	2988	974
754	2992	971
755	2996	967
756	3000	963
757	3004	959
758	3008	955
759	3012	951
760	3016	947
761	3020	943
762	3023	939
763	3027	935
764	3031	931
765	3035	927
766	3039	923
767	3043	919
768	3047	915
769	3051	911
770	3055	907
771	3059	903
772	3063	899
773	3067	895
774	3071	891
775	3075	887
776	3078	883
777	3082	879
778	3086	875
779	3090	871
780	3094	867
781	3098	863
782	3102	859
783	3106	855
784	3110	851
785	3114	847
786	3118	843
787	3122	839
788	3125	835
789	3129	831
790	3133	827
791	3137	823
792	3141	820
793	3145	816
794	3149	812
795	3153	808
796	3156	804
797	3160	800
798	3164	796
799	3168	792
800	3172	788
801	3176	784
802	3180	780
803	3183	776
804	3187	772
805	3191	768
806	3195	764
807	3199	760
808	3203	756
809	3207	752
810	3210	748
811	3214	744
812	3218	740
813	3222	736
814	3226	732
815	3230	728
816	3234	724
817	3238	720
818	3241	716
819	3245	712
820	3249	708
821	3253	704
822	3257	700
823	3261	696
824	3264	692
825	3268	688
826	3272	684
827	3276	680
828	3280	676
829	3284	672
830	3288	668
831	3292	664
832	3296	660
833	3300	656
834	3304	652
835	3308	649
836	3312	645
837	3316	641
838	3320	637
839	3324	633
840	3328	629
841	3332	625
842	3335	621
843	3339	617
844	3343	613
845	3347	609
846	3351	605
847	3355	601
848	3359	597
849	3363	593
850	3366	589
851	3370	585
852	3374	581
853	3378	577
854	3382	573
855	3385	569
856	3389	565
857	3393	561
858	3397	557
859	3401	553
860	3405	549
861	3408	545
862	3412	541
863	3416	537
864	3420	533
865	3424	529
866	3428	525
867	3432	522
868	3436	518
869	3440	514
870	3443	510
871	3447	506
872	3451	502
873	3455	498
874	3459	494
875	3463	490
876	3467	486
877	3471	482
878	3475	478
879	3479	474
880	3482	470
881	3486	466
882	3490	462
883	3494	458
884	3498	454
885	3502	450
886	3506	446
887	3510	442
888	3514	438
889	3518	434
890	3521	430
891	3525	426
892	3529	422
893	3533	418
894	3537	415
895	3541	411
896	3545	407
897	3549	403
898	3554	399
899	3557	395
900	3561	391
901	3565	387
902	3569	383
903	3573	379
904	3577	375
905	3581	371
906	3585	367
907	3589	363
908	3593	359
909	3597	355
910	3600	351
911	3604	347
912	3608	343
913	3612	339
914	3616	335
915	3620	331
916	3623	327
917	3627	324
918	3631	320
919	3635	316
920	3639	312
921	3643	308
922	3647	304
923	3650	300
924	3654	296
925	3658	292
926	3662	288
927	3666	284
928	3670	280
929	3674	276
930	3678	272
931	3682	268
932	3685	264
933	3690	260
934	3694	256
935	3697	252
936	3701	248
937	3705	244
938	3709	240
939	3713	237
940	3717	233
941	3721	229
942	3725	225
943	3728	221
944	3732	217
945	3736	213
946	3740	209
947	3744	205
948	3748	201
949	3752	197
950	3756	193
951	3759	189
952	3763	185
953	3767	181
954	3771	177
955	3775	173
956	3779	169
957	3783	165
958	3787	161
959	3791	157
960	3794	154
961	3798	150
962	3802	146
963	3806	142
964	3810	138
965	3814	134
966	3818	130
967	3822	126
968	3826	122
969	3830	118
970	3833	114
971	3837	110
972	3841	106
973	3845	102
974	3849	98
975	3853	94
976	3857	90
977	3861	86
978	3864	82
979	3868	78
980	3872	75
981	3876	71
982	3880	67
983	3883	63
984	3887	59
985	3891	55
986	3895	51
987	3899	47
988	3903	43
989	3907	39
990	3910	35
991	3914	31
992	3918	27
993	3922	23
994	3926	19
995	3930	15
996	3934	11
997	3938	7
998	3941	3
999	3945	0
