iter	Logloss
0	0.6468550169
1	0.607834892
2	0.5803238882
3	0.559383837
4	0.542502686
5	0.527384877
6	0.5135302709
7	0.5011348919
8	0.491469432
9	0.4845440324
10	0.4779587572
11	0.4726714776
12	0.4683774234
13	0.4640127857
14	0.4605473243
15	0.4576677818
16	0.4553048226
17	0.453264295
18	0.4502814669
19	0.4478147542
20	0.4460211756
21	0.4455063709
22	0.4441560148
23	0.442825411
24	0.4418970276
25	0.4408537508
26	0.4385709236
27	0.4376395134
28	0.4367314438
29	0.4360968155
30	0.4353597754
31	0.4346778417
32	0.4343034553
33	0.433968386
34	0.4330946097
35	0.4318943141
36	0.4310525843
37	0.4303512105
38	0.4298062627
39	0.4285538562
40	0.4280403309
41	0.4274022389
42	0.4270594934
43	0.4266276291
44	0.4261125124
45	0.4257175937
46	0.4254114818
47	0.424479978
48	0.4241471554
49	0.4235759649
50	0.4232511306
51	0.4225671686
52	0.422014295
53	0.4217806701
54	0.4213223448
55	0.4210610107
56	0.4205882067
57	0.4200419483
58	0.419622628
59	0.4194189902
60	0.4187422988
61	0.4184526003
62	0.4181179991
63	0.4178158813
64	0.417436471
65	0.417156789
66	0.4168501778
67	0.4161806321
68	0.4157602509
69	0.4155755852
70	0.4152575846
71	0.4147629689
72	0.414478107
73	0.4141084324
74	0.4139112227
75	0.4134539895
76	0.413198553
77	0.4125636438
78	0.4122984716
79	0.4120564217
80	0.4118606162
81	0.4116065215
82	0.4112350994
83	0.4106864383
84	0.410242498
85	0.4096609478
86	0.4092959539
87	0.4091340047
88	0.4086841981
89	0.4084162488
90	0.4076620465
91	0.407081682
92	0.406633342
93	0.4063446107
94	0.4057783817
95	0.4056171815
96	0.4052787422
97	0.4049600863
98	0.4045374584
99	0.4041766145
100	0.4036015236
101	0.4034121149
102	0.4030994501
103	0.4029233968
104	0.4027398544
105	0.40230721
106	0.4019717975
107	0.401521554
108	0.4012725768
109	0.4008954444
110	0.4004210178
111	0.4001443625
112	0.3997108132
113	0.3993265975
114	0.3990143072
115	0.3985762957
116	0.3977600285
117	0.397445117
118	0.3968835998
119	0.3965374219
120	0.3962576462
121	0.3958022541
122	0.3954885908
123	0.3951623211
124	0.3948156127
125	0.3945297522
126	0.3940644059
127	0.393690238
128	0.3934006642
129	0.3930352334
130	0.3927393252
131	0.3923348269
132	0.3920611672
133	0.3916113918
134	0.3912506416
135	0.390658794
136	0.3903494681
137	0.3901054835
138	0.3898782243
139	0.3893051616
140	0.3888326696
141	0.3884678004
142	0.3881560718
143	0.3875018785
144	0.3868977677
145	0.3866073515
146	0.3862874474
147	0.386065212
148	0.3856441443
149	0.3852682601
150	0.3850071133
151	0.3845472589
152	0.3841954019
153	0.3839379995
154	0.3836227448
155	0.3832607464
156	0.3828913839
157	0.3825661751
158	0.3823418178
159	0.3820030665
160	0.3817411395
161	0.3815820612
162	0.3814193632
163	0.3810168307
164	0.3805807539
165	0.3802984507
166	0.3797221116
167	0.3794427415
168	0.3791158165
